Key,Item Type,Publication Year,Author,Title,Publication Title,DOI,Url,Abstract Note,Date,Conference Name,Manual Tags
203,preprint,2025,"Mandal, Debabrata; Chattopadhyay, Soumitri; Tong, Guansen; Chakravarthula, Praneeth",UniCoRN: Latent Diffusion-based Unified Controllable Image Restoration Network across Multiple Degradations,,10.48550/arXiv.2503.15868,http://arxiv.org/abs/2503.15868,,2025,,Computer Science - Computer Vision and Pattern Recognition
204,preprint,2025,"Mandal, Debabrata; Chattopadhyay, Soumitri; Tong, Guansen; Chakravarthula, Praneeth",UniCoRN: Latent Diffusion-based Unified Controllable Image Restoration Network across Multiple Degradations,,10.48550/arXiv.2503.15868,http://arxiv.org/abs/2503.15868,,2025,,Computer Science - Computer Vision and Pattern Recognition
205,preprint,2025,"Gao, Junjie; Liu, Runze; Peng, Yingzhe; Yang, Shujian; Zhang, Jin; Yang, Kai; You, Zhiyuan",DeQA-Doc: Adapting DeQA-Score to Document Image Quality Assessment,,10.48550/arXiv.2507.12796,http://arxiv.org/abs/2507.12796,,2025,,Computer Science - Computer Vision and Pattern Recognition
206,preprint,2025,"You, Zhiyuan; Cai, Xin; Gu, Jinjin; Xue, Tianfan; Dong, Chao",Teaching Large Language Models to Regress Accurate Image Quality Scores using Score Distribution,,10.48550/arXiv.2501.11561,http://arxiv.org/abs/2501.11561,,2025,,Computer Science - Computer Vision and Pattern Recognition
312,preprint,2025,"Han, Woo Kyoung; Lee, Byeonghun; Cho, Hyunmin; Im, Sunghoon; Jin, Kyong Hwan",Towards Lossless Implicit Neural Representation via Bit Plane Decomposition,,10.48550/arXiv.2502.21001,http://arxiv.org/abs/2502.21001,,2025,,Computer Science - Computer Vision and Pattern Recognition
313,preprint,2025,"Lee, MinKyu; Hyun, Sangeek; Jun, Woojin; Heo, Jae-Pil",Auto-Encoded Supervision for Perceptual Image Super-Resolution,,10.48550/arXiv.2412.00124,http://arxiv.org/abs/2412.00124,,2025,,Computer Science - Computer Vision and Pattern Recognition; Electrical Engineering and Systems Science - Image and Video Processing
334,preprint,2025,"Hu, JiaKui; Jin, Lujia; Yao, Zhengjian; Lu, Yanye",Universal Image Restoration Pre-training via Degradation Classification,,10.48550/arXiv.2501.15510,http://arxiv.org/abs/2501.15510,,2025,,Computer Science - Computer Vision and Pattern Recognition
69,preprint,2025,"Chang, Laibin; Wang, Yunke; Du, Bo; Xu, Chang",Color Correction Meets Cross-Spectral Refinement: A Distribution-Aware Diffusion for Underwater Image Restoration,,10.48550/arXiv.2501.04740,http://arxiv.org/abs/2501.04740,,2025,,Electrical Engineering and Systems Science - Image and Video Processing
1000,bookSection,2025,"Leonardis, Aleš; Ricci, Elisa; Roth, Stefan; Russakovsky, Olga; Sattler, Torsten; Varol, Gül; He, Jiaqi; Wang, Zhihua; Wang, Leon; Liu, Tsein-I; Fang, Yuming; Sun, Qilin; Ma, Kede",Multiscale Sliced Wasserstein Distances as Perceptual Color Difference Measures,,10.1007/978-3-031-73668-1_25,https://link.springer.com/10.1007/978-3-031-73668-1_25,,2025,,
200,journalArticle,2024,"Novaes, Guilherme Apolinario Silva; Kim, Hae Yong",Super-Resolution of Color Halftone Images Using Convolutional Neural Networks,IEEE Access,10.1109/ACCESS.2024.3352431,https://ieeexplore.ieee.org/document/10387444/,,2024,,Color; convolutional neural networks; Convolutional neural networks; Data augmentation; deep learning; Deep learning; Halftone; Image color analysis; Image resolution; Printers; Printing; super-resolution; Superresolution; up-sampling
210,journalArticle,2024,"Novaes, Guilherme Apolinario Silva; Kim, Hae Yong",Super-Resolution of Color Halftone Images Using Convolutional Neural Networks,IEEE Access,10.1109/ACCESS.2024.3352431,https://ieeexplore.ieee.org/document/10387444/,,2024,,Color; convolutional neural networks; Convolutional neural networks; Data augmentation; deep learning; Deep learning; Halftone; Image color analysis; Image resolution; Printers; Printing; super-resolution; Superresolution; up-sampling
287,preprint,2024,"Souza, Matheus; Zheng, Yidan; Kang, Kaizhang; Mishra, Yogeshwar Nath; Fu, Qiang; Heidrich, Wolfgang",Latent Space Imaging,,10.48550/arXiv.2407.07052,http://arxiv.org/abs/2407.07052,,2024,,Computer Science - Computer Vision and Pattern Recognition; Electrical Engineering and Systems Science - Image and Video Processing
335,preprint,2024,"Cao, Jin; Cao, Yi; Pang, Li; Meng, Deyu; Cao, Xiangyong",HAIR: Hypernetworks-based All-in-One Image Restoration,,10.48550/arXiv.2408.08091,http://arxiv.org/abs/2408.08091,,2024,,Computer Science - Computer Vision and Pattern Recognition
340,preprint,2024,"Cao, Jin; Cao, Yi; Pang, Li; Meng, Deyu; Cao, Xiangyong",HAIR: Hypernetworks-based All-in-One Image Restoration,,10.48550/arXiv.2408.08091,http://arxiv.org/abs/2408.08091,,2024,,Computer Science - Computer Vision and Pattern Recognition
71,journalArticle,2024,"Novaes, Guilherme Apolinario Silva; Kim, Hae Yong",Super-Resolution of Color Halftone Images Using Convolutional Neural Networks,IEEE Access,10.1109/ACCESS.2024.3352431,https://ieeexplore.ieee.org/document/10387444/,,2024,,Color; convolutional neural networks; Convolutional neural networks; Data augmentation; deep learning; Deep learning; Halftone; Image color analysis; Image resolution; Printers; Printing; super-resolution; Superresolution; up-sampling
262,preprint,2024,"Chen, Haoyu; Li, Wenbo; Gu, Jinjin; Ren, Jingjing; Chen, Sixiang; Ye, Tian; Pei, Renjing; Zhou, Kaiwen; Song, Fenglong; Zhu, Lei",RestoreAgent: Autonomous Image Restoration Agent via Multimodal Large Language Models,,10.48550/arXiv.2407.18035,http://arxiv.org/abs/2407.18035,,2024,,Computer Science - Computer Vision and Pattern Recognition; Computer Science - Artificial Intelligence; Computer Science - Computation and Language
353,preprint,2024,"He, Jiaqi; Wang, Zhihua; Wang, Leon; Liu, Tsein-I.; Fang, Yuming; Sun, Qilin; Ma, Kede",Multiscale Sliced Wasserstein Distances as Perceptual Color Difference Measures,,10.48550/arXiv.2407.10181,http://arxiv.org/abs/2407.10181,,2024,,Computer Science - Computer Vision and Pattern Recognition
354,preprint,2024,"He, Jiaqi; Wang, Zhihua; Wang, Leon; Liu, Tsein-I.; Fang, Yuming; Sun, Qilin; Ma, Kede",Multiscale Sliced Wasserstein Distances as Perceptual Color Difference Measures,,10.48550/arXiv.2407.10181,http://arxiv.org/abs/2407.10181,,2024,,Computer Science - Computer Vision and Pattern Recognition
362,journalArticle,2024,"Lin, Peng; Wang, Yafei; Li, Yuanyuan; Fan, Zihao; Fu, Xianping",Underwater Color Correction Network With Knowledge Transfer,IEEE Transactions on Multimedia,10.1109/TMM.2024.3374598,https://ieeexplore.ieee.org/document/10462541/,,2024,,
364,journalArticle,2024,"Lin, Peng; Wang, Yafei; Li, Yuanyuan; Fan, Zihao; Fu, Xianping",Underwater Color Correction Network With Knowledge Transfer,IEEE Transactions on Multimedia,10.1109/TMM.2024.3374598,https://ieeexplore.ieee.org/document/10462541/,,2024,,Image color analysis; Biological system modeling; color correction; Image enhancement; Imaging; knowledge transfer; Knowledge transfer; Learning systems; Pipelines; Underwater image enhancement; underwater light attenuation
365,journalArticle,2024,"Lin, Peng; Wang, Yafei; Li, Yuanyuan; Fan, Zihao; Fu, Xianping",Underwater Color Correction Network With Knowledge Transfer,IEEE Transactions on Multimedia,10.1109/TMM.2024.3374598,https://ieeexplore.ieee.org/document/10462541/,,2024,,Image color analysis; Biological system modeling; color correction; Image enhancement; Imaging; knowledge transfer; Knowledge transfer; Learning systems; Pipelines; Underwater image enhancement; underwater light attenuation
998,conferencePaper,2024,"Zhang, Jiaxin; Peng, Dezhi; Liu, Chongyu; Zhang, Peirong; Jin, Lianwen",DocRes: A Generalist Model Toward Unifying Document Image Restoration Tasks,2024 IEEE/CVF Conference on Computer Vision and Pattern Recognition (CVPR),10.1109/CVPR52733.2024.01482,https://ieeexplore.ieee.org/document/10657084/,,2024,2024 IEEE/CVF Conference on Computer Vision and Pattern Recognition (CVPR),
1017,preprint,2024,"Yue, Zongsheng; Wang, Jianyi; Loy, Chen Change",Efficient Diffusion Model for Image Restoration by Residual Shifting,,10.48550/arXiv.2403.07319,http://arxiv.org/abs/2403.07319,,2024,,Computer Science - Computer Vision and Pattern Recognition
1674,preprint,2024,"Li, Mingxian; Sun, Hao; Lei, Yingtie; Zhang, Xiaofeng; Dong, Yihang; Zhou, Yilin; Li, Zimeng; Chen, Xuhang",High-Fidelity Document Stain Removal via A Large-Scale Real-World Dataset and A Memory-Augmented Transformer,,10.48550/arXiv.2410.22922,http://arxiv.org/abs/2410.22922,,2024,,Computer Science - Computer Vision and Pattern Recognition
202,journalArticle,2023,"Cai, Weiwei; Zhang, Huaidong; Xu, Xuemiao; He, Shengfeng; Zhang, Kun; Qin, Jing",Contextual-Assisted Scratched Photo Restoration,IEEE Transactions on Circuits and Systems for Video Technology,10.1109/TCSVT.2023.3256372,https://ieeexplore.ieee.org/document/10068221/,,2023,,Deep learning; Context modeling; Electronic mail; Feature extraction; Image processing; Image restoration; scratched photograph restoration; Task analysis; Videos
284,preprint,2023,"Potlapalli, Vaishnav; Zamir, Syed Waqas; Khan, Salman; Khan, Fahad Shahbaz",PromptIR: Prompting for All-in-One Blind Image Restoration,,10.48550/arXiv.2306.13090,http://arxiv.org/abs/2306.13090,,2023,,Computer Science - Computer Vision and Pattern Recognition
1007,conferencePaper,2023,"Shen, Xuelun; Cai, Zhipeng; Yin, Wei; Müller, Matthias; Li, Zijun; Wang, Kaixuan; Chen, Xiaozhi; Wang, Cheng",GIM: Learning Generalizable Image Matcher From Internet Videos,The Twelfth International Conference on Learning Representations,,https://openreview.net/forum?id=NYN1b8GRGS,,2023,The Twelfth International Conference on Learning Representations,
996,conferencePaper,2022,"Zamir, Syed Waqas; Arora, Aditya; Khan, Salman; Hayat, Munawar; Khan, Fahad Shahbaz; Yang, Ming-Hsuan",Restormer: Efficient Transformer for High-Resolution Image Restoration,2022 IEEE/CVF Conference on Computer Vision and Pattern Recognition (CVPR),10.1109/CVPR52688.2022.00564,https://ieeexplore.ieee.org/document/9878962/,,2022,2022 IEEE/CVF Conference on Computer Vision and Pattern Recognition (CVPR),
1002,conferencePaper,2022,"Ho, Man M.; Zhou, Jinjia",Deep Photo Scan: Semi-Supervised Learning for dealing with the real-world degradation in Smartphone Photo Scanning,2022 IEEE/CVF Winter Conference on Applications of Computer Vision (WACV),10.1109/WACV51458.2022.00097,https://ieeexplore.ieee.org/document/9706893/,,2022,2022 IEEE/CVF Winter Conference on Applications of Computer Vision (WACV),
1010,preprint,2022,"Yu, Xin; Dai, Peng; Li, Wenbo; Ma, Lan; Shen, Jiajun; Li, Jia; Qi, Xiaojuan",Towards Efficient and Scale-Robust Ultra-High-Definition Image Demoireing,,10.48550/arXiv.2207.09935,http://arxiv.org/abs/2207.09935,,2022,,Computer Science - Computer Vision and Pattern Recognition
1013,preprint,2022,"Yu, Xin; Dai, Peng; Li, Wenbo; Ma, Lan; Shen, Jiajun; Li, Jia; Qi, Xiaojuan",Towards Efficient and Scale-Robust Ultra-High-Definition Image Demoireing,,10.48550/arXiv.2207.09935,http://arxiv.org/abs/2207.09935,,2022,,Computer Science - Computer Vision and Pattern Recognition
352,conferencePaper,2019,"Shocher, Assaf; Bagon, Shai; Isola, Phillip; Irani, Michal",InGAN: Capturing and Retargeting the “DNA” of a Natural Image,2019 IEEE/CVF International Conference on Computer Vision (ICCV),10.1109/ICCV.2019.00459,https://ieeexplore.ieee.org/document/9009560/,,2019,2019 IEEE/CVF International Conference on Computer Vision (ICCV),
310,preprint,2018,"Prashnani, Ekta; Cai, Hong; Mostofi, Yasamin; Sen, Pradeep",PieAPP: Perceptual Image-Error Assessment through Pairwise Preference,,10.48550/arXiv.1806.02067,http://arxiv.org/abs/1806.02067,,2018,,Computer Science - Computer Vision and Pattern Recognition
994,conferencePaper,2018,"Wang, Ting-Chun; Liu, Ming-Yu; Zhu, Jun-Yan; Tao, Andrew; Kautz, Jan; Catanzaro, Bryan",High-Resolution Image Synthesis and Semantic Manipulation with Conditional GANs,2018 IEEE/CVF Conference on Computer Vision and Pattern Recognition (CVPR),10.1109/CVPR.2018.00917,https://ieeexplore.ieee.org/document/8579015/,,2018,2018 IEEE/CVF Conference on Computer Vision and Pattern Recognition (CVPR),
1009,conferencePaper,2017,"Zhu, Jun-Yan; Park, Taesung; Isola, Phillip; Efros, Alexei A.",Unpaired Image-to-Image Translation Using Cycle-Consistent Adversarial Networks,2017 IEEE International Conference on Computer Vision (ICCV),10.1109/ICCV.2017.244,http://ieeexplore.ieee.org/document/8237506/,,2017,2017 IEEE International Conference on Computer Vision (ICCV),
190,webpage,,,[2411.18824] FaithDiff: Unleashing Diffusion Priors for Faithful Image Super-resolution,,,https://arxiv.org/abs/2411.18824,,,,
50,journalArticle,,"Blau, Yochai; Michaeli, Tomer",The Perception-Distortion Tradeoff,,,,,,,
991,webpage,,,Dylan Love,,,https://www.businessinsider.com/author/dylan-love,,,,
1003,webpage,,,Connection Problems,,,https://digitalcomicmuseum.com/,,,,
1005,webpage,,,The Digital Comic Museum > > Log In,,,https://digitalcomicmuseum.com/login.php,,,,
1027,journalArticle,,"Li, Mingxian; Sun, Hao; Lei, Yingtie; Zhang, Xiaofeng; Dong, Yihang; Zhou, Yilin; Li, Zimeng; Chen, Xuhang",High-Fidelity Document Stain Removal via A Large-Scale Real-World Dataset and A Memory-Augmented Transformer,,,,,,,
